# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 41 37 245875632 122937816 122937816 996 996
ipm_global 41 38 9555776 4777888 4777888 498 498
ipm_global 41 39 9591952 4795976 4795976 498 498
ipm_global 41 40 3815210964 3235610516 579600448 36096 31734
ipm_global 41 41 9555776 4777888 4777888 498 498
ipm_global 42 5 4055040 4055040 0 99 0
ipm_global 42 6 1048576 524288 524288 64 64
ipm_global 42 10 227328 113664 113664 604 604
ipm_global 42 21 90652672 43704320 46948352 979 1078
ipm_global 42 26 94784832 47392416 47392416 498 498
ipm_global 42 32 7300880 3650440 3650440 498 498
ipm_global 42 33 9428720 4714360 4714360 498 498
ipm_global 42 34 675702900 638128404 37574496 36074 3063
ipm_global 42 35 9299760 4649880 4649880 498 498
ipm_global 42 36 9428720 4714360 4714360 498 498
ipm_global 42 37 10178736 5089368 5089368 498 498
ipm_global 42 38 235929888 117964944 117964944 996 996
ipm_global 42 39 9428720 4714360 4714360 498 498
ipm_global 42 40 9490912 4745456 4745456 1102 1102
ipm_global 42 41 3808004920 3231520744 576484176 35968 31606
ipm_global 42 42 9229312 4614656 4614656 498 498
ipm_global 43 5 4055040 4055040 0 99 0
ipm_global 43 7 1048576 524288 524288 64 64
ipm_global 43 11 227328 113664 113664 604 604
ipm_global 43 27 96052896 48026448 48026448 498 498
ipm_global 43 29 91734016 44785664 46948352 1012 1078
ipm_global 43 32 8022496 4011248 4011248 498 498
ipm_global 43 33 10150336 5075168 5075168 498 498
ipm_global 43 34 9949024 4974512 4974512 498 498
ipm_global 43 35 677632148 638507300 39124848 36074 3107
ipm_global 43 36 10150336 5075168 5075168 498 498
ipm_global 43 37 10934624 5467312 5467312 498 498
ipm_global 43 38 10077984 5038992 5038992 498 498
ipm_global 43 39 240632768 120316384 120316384 996 996
ipm_global 43 40 572981216 286490608 286490608 996 996
ipm_global 43 41 22247200 11123600 11123600 1102 1102
ipm_global 43 42 3808442984 3231601176 576841808 36096 31734
ipm_global 43 43 10600192 5300096 5300096 498 498
ipm_global 44 4 1048576 524288 524288 64 64
